A	B	jindex
SM-3MG3L	SM-3MG3N	0.57575425154
SM-3MG3L	SM-3MG3O	0.570345901111
SM-3MG3L	SM-3MG45	0.550747944964
SM-3MG3L	SM-3MG46	0.555437438774
SM-3MG3L	SM-3MG47	0.553023832614
SM-3MG3L	SM-3MG48	0.551262976906
SM-3MG3L	SM-3MG49	0.531380141066
SM-3MG3L	SM-3MG4A	0.545635298259
SM-3MG3L	SM-3MG4B	0.545999181167
SM-3MG3L	SM-3MG4C	0.481564045131
SM-3MG3L	SM-3MG4D	0.543471451813
SM-3MG3L	SM-3MG4E	0.545170118964
SM-3MG3L	SM-3MG4F	0.550245610044
SM-3MG3L	SM-3MG4G	0.547116649884
SM-3MG3L	SM-3MG4H	0.529259431725
SM-3MG3L	SM-3MG4J	0.545534481529
SM-3MG3L	SM-3MG4K	0.546331002091
SM-3MG3L	SM-3MG4L	0.553029316319
SM-3MG3L	SM-3MG4M	0.546832246895
SM-3MG3L	SM-3MG4N	0.548206613295
SM-3MG3L	SM-3MG4O	0.550669782387
SM-3MG3L	SM-3MG4P	0.553055157543
SM-3MG3L	SM-3MG4Q	0.54860903736
SM-3MG3L	SM-3MG4R	0.557571371512
SM-3MG3L	SM-3MG4S	0.552168754001
SM-3MG3L	SM-3MG4T	0.554114015784
SM-3MG3L	SM-3MG4U	0.551619910339
SM-3MG3L	SM-3MG4V	0.551970079792
SM-3MG3L	SM-3MG4W	0.542586433344
SM-3MG3L	SM-3MG4X	0.550474386252
SM-3MG3L	SM-3MG4Y	0.551918774213
SM-3MG3L	SM-3MG51	0.551294316179
SM-3MG3L	SM-3MG52	0.546304679886
SM-3MG3L	SM-3MG53	0.559943774803
SM-3MG3L	SM-3MG54	0.557899554613
SM-3MG3L	SM-3MG55	0.551711056788
SM-3MG3L	SM-3MG56	0.556448121412
SM-3MG3L	SM-3MG57	0.560251228577
SM-3MG3L	SM-3MG58	0.560779674905
SM-3MG3L	SM-3MG59	0.557247499116
SM-3MG3L	SM-3MG5A	0.55957042765
