Trait,chr,region,rsID,95g,AMR,EAS,SAS,EUR,AFR
Prostate_cancer,4,72989536,rs10009409,0.884211,0.5519,0.5159,0.3661,0.327,0.407
Trans_fatty_acid_levels,4,187693959,rs10012750,0.0315789,0.1153,0.1687,0.1738,0.0805,0.3828
Obesity-related_traits,4,110043206,rs10012953,0.168421,0.1599,0.1329,0.1513,0.2634,0.1573
Trans_fatty_acid_levels,4,187703241,rs10014313,0.0315789,0.0994,0.1687,0.1738,0.0765,0.202
Response_to_amphetamines,4,182766636,rs10017238,0.789474,0.3184,0.3185,0.2127,0.169,0.1346
Obesity-related_traits,4,120941346,rs10018902,0.0105263,0.0159,0,0,0,0.1157
Trans_fatty_acid_levels,4,187697771,rs10030764,0.0315789,0.1153,0.1687,0.1738,0.0805,0.4448
Trans_fatty_acid_levels,4,187698295,rs10031224,0.0315789,0.1153,0.1687,0.1738,0.0805,0.4433
Trans_fatty_acid_levels,4,187693754,rs10034736,0.0315789,0.1153,0.1716,0.1738,0.0805,0.3812
Trans_fatty_acid_levels,4,187693888,rs10034852,0.0315789,0.1153,0.1687,0.1738,0.0805,0.3828
Asthma_or_chronic_obstructive_pulmonary_disease,5,116261351,rs10043228,0.273684,0.1671,0.0228,0.0777,0.0686,0.1369
Obesity-related_traits,2,167785460,rs1004368,0.0210526,0.1772,0.3611,0.2699,0.2266,0.5061
Obesity-related_traits,5,149326736,rs10044242,0.0105263,0,0,0.0041,0.0109,0.0234
Obesity-related_traits,5,153560845,rs10065813,0.0736842,0.0994,0,0.1339,0.1451,0.1316
Glucose_homeostasis_traits,17,3962105,rs1006703,0.0105263,0.1153,0,0.0798,0.1491,0.1415
Waist-to-hip_circumference_ratio_(interaction),5,68011634,rs10067755,0.631579,0.3948,0.6329,0.271,0.3767,0.416
Obesity-related_traits,5,178413381,rs10070303,0.4,0.2406,0.3671,0.2464,0.1123,0.4614
Obesity-related_traits,5,90914007,rs10074525,0.968421,0.8473,0.998,0.8558,0.7276,0.7655
Obesity-related_traits,5,129387003,rs10077875,0.852632,0.5375,0.5506,0.4131,0.4513,0.5454
Prostate_cancer,8,127519892,rs10090154,0.989474,0.9193,0.8621,0.8671,0.8986,0.8094
Trans_fatty_acid_levels,8,4579943,rs10097669,0.315789,0.2507,0.1667,0.2873,0.3241,0.0144
Obesity-related_traits,8,60192640,rs10098647,0.2,0.3242,0.4762,0.5133,0.3976,0.7027
Immune_response_to_smallpox_vaccine_(IL-6),8,122960828,rs10108684,0.210526,0.1052,0.4554,0.2209,0.1402,0.0098
Obesity-related_traits,2,143932550,rs1011397,0.947368,0.7882,0.7966,0.8006,0.8469,0.5507
Allergic_rhinitis,9,25659639,rs10124907,0.273684,0.621,0.7897,0.6626,0.4334,0.5908
Obesity-related_traits,9,112035757,rs10125054,0.484211,0.3026,0.4206,0.3476,0.2565,0.2935
Obesity-related_traits,9,78468981,rs10125737,0.168421,0.3329,0.5704,0.5256,0.507,0.236
Body_mass_index_(interaction),21,34326090,rs1013063,0.989474,0.6758,0.4355,0.547,0.5497,0.2602
Obesity-related_traits,14,20793574,rs10131141,0.884211,0.7017,0.753,0.7924,0.6153,0.5991
Body_mass_index_(interaction),14,94944192,rs10133840,1,0.8963,0.88,0.8446,0.7227,0.9448
Obesity-related_traits,14,55951401,rs10151037,0.694737,0.2867,0.4861,0.2188,0.1551,0.3472
Fibrinogen,1,247442297,rs10157379,0.821053,0.6398,0.6161,0.6217,0.6451,0.6014
Obesity-related_traits,11,4495346,rs10160399,0.0105263,0.0706,0.0923,0.0501,0.0596,0.2322
Bronchopulmonary_dysplasia,15,35054340,rs10162694,0.442105,0.134,0.1012,0.001,0,0.0719
Acute_lymphoblastic_leukemia_(childhood),2,149601110,rs10170236,0.978947,0.745,0.8641,0.7587,0.7614,0.3396
Response_to_amphetamines,18,75815681,rs1017745,0.978947,0.6758,0.8194,0.7229,0.5636,0.4054
Glucose_homeostasis_traits,2,134106773,rs10179986,0.789474,0.4092,0.6865,0.3098,0.3022,0.8495
Obesity-related_traits,2,237913689,rs10185142,0.157895,0.2147,0.2054,0.3119,0.3221,0.4221
Obesity-related_traits,2,22901686,rs10189050,1,0.9308,1,0.9622,0.8877,0.9962
Pericardial_fat,2,12824371,rs10198628,0.873684,0.5187,0.8522,0.6401,0.5417,0.6051
Obesity-related_traits,2,175919410,rs1020410,0.294737,0.2651,0.3026,0.6053,0.2863,0.4864
Carotid_plaque_burden_(smoking_interaction),2,69924339,rs10205487,0.673684,0.402,0.5417,0.5409,0.4443,0.8253
Obesity-related_traits,2,239765595,rs10207060,0.463158,0.5403,0.7837,0.5123,0.4573,0.6301
Trans_fatty_acid_levels,3,53728542,rs1020820,1,0.9251,1,0.8855,0.8648,0.8865
Trans_fatty_acid_levels,3,53715853,rs1020821,1,0.9236,1,0.8855,0.8658,0.8828
Waist-to-hip_circumference_ratio_(interaction),3,102129717,rs10212363,0.273684,0.2406,0.1458,0.1431,0.2157,0.208
Response_to_anti-retroviral_therapy_(ddI/d4T)_in_HIV-1_infection_(Grade_1_peripheral_neuropathy),7,24067707,rs10216322,0.0526316,0.0922,0.001,0.0869,0.1998,0.0295
Fibrinogen,7,17957989,rs10226084,0.821053,0.5331,0.3323,0.2628,0.508,0.3669
Trans_fatty_acid_levels,11,61790331,rs102275,0.2,0.6542,0.5675,0.1595,0.3628,0.6974
Obesity-related_traits,1,69938857,rs1023008,0.684211,0.5216,0.6776,0.4918,0.5626,0.5522
Glucose_homeostasis_traits,7,50325030,rs10230193,0.873684,0.4323,0.502,0.4417,0.333,0.5749
Bone_mineral_density,7,121343289,rs10242100,0.221053,0.2248,0.121,0.228,0.2634,0.4047
Obesity-related_traits,7,8602724,rs10245124,0.6,0.1398,0.1994,0.1288,0.0358,0.0514
Adverse_response_to_radiation_therapy,7,97388483,rs10255878,0.105263,0.1225,0.2768,0.2679,0.1282,0.3381
Obesity-related_traits,7,7809281,rs10259199,0.0105263,0.1138,0.0724,0.0562,0.1481,0.2738
Trans_fatty_acid_levels,6,156028051,rs1026153,0.957895,0.6297,0.7996,0.6544,0.5577,0.4395
Obesity-related_traits,7,155976055,rs10267337,0.936842,0.9337,1,0.9703,0.9612,0.7322
Glucose_homeostasis_traits,7,30715967,rs10267836,0.0315789,0.0533,0.1151,0.2914,0.0924,0.143
Glucose_homeostasis_traits,20,22286420,rs1028444,0.473684,0.4107,0.2173,0.3395,0.3847,0.4077
Obesity-related_traits,2,105294056,rs1030877,0.810526,0.6571,0.2827,0.5184,0.661,0.5961
Post-traumatic_stress_disorder,10,24927877,rs1033962,0.705263,0.3213,0.2937,0.2413,0.2376,0.5794
Trans_fatty_acid_levels,11,42357376,rs10400317,0.610526,0.4971,0.2371,0.3548,0.5358,0.4682
Prostate_cancer,21,41529494,rs1041449,0.778947,0.4856,0.1954,0.2413,0.4135,0.388
Obesity-related_traits,19,17652081,rs10416963,0.515789,0.5245,0.7063,0.6871,0.6183,0.9039
Obesity-related_traits,19,29417200,rs10425935,0.0631579,0.0937,0.2093,0.1319,0.1074,0.5076
Bone_mineral_density,7,96490169,rs10429035,0.210526,0.2622,0.1944,0.3078,0.2734,0.7262
Obesity-related_traits,1,109499822,rs1043274,0.0105263,0.0317,0.001,0.0521,0.002,0.3548
Obesity-related_traits,1,98987731,rs10443196,0.357895,0.3329,0.0417,0.2168,0.3787,0.09
Obesity-related_traits,2,145347686,rs10445672,0.105263,0.1484,0.121,0.1769,0.1581,0.3888
Obesity-related_traits,3,139354169,rs1044826,1,0.5187,0.8651,0.3313,0.2306,0.2345
Cognitive_performance,6,71772755,rs10455248,0.484211,0.3012,0.1042,0.1309,0.2863,0.1082
Post-traumatic_stress_disorder,6,149036411,rs10457838,0.6,0.2853,0.2143,0.1575,0.2624,0.2352
Antipsychotic-induced_QTc_interval_prolongation,1,70455490,rs10458561,0.168421,0.2089,0.1111,0.1933,0.3032,0.1732
Obesity-related_traits,1,83921949,rs10465746,0.852632,0.4971,0.2788,0.3405,0.5169,0.1982
Obesity-related_traits,12,40373560,rs10467147,0.189474,0.2392,0.3313,0.3875,0.3211,0.2216
Trans_fatty_acid_levels,18,64501857,rs10469266,0.0421053,0.072,0.3373,0.1748,0.0527,0.4244
Obesity-related_traits,7,7898965,rs10486201,0.0947368,0.098,0.0813,0.1012,0.162,0.0061
Obesity-related_traits,7,94084209,rs10487245,0.452632,0.1297,0.1349,0.1084,0.0417,0.1649
Immune_response_to_smallpox_vaccine_(IL-6),1,189620209,rs10489759,0.336842,0.1239,0.002,0.0348,0.0209,0.59
Response_to_antidepressant_treatment_(citalopram),12,81150757,rs10492002,0.368421,0.3256,0.0258,0.2434,0.4016,0.0484
Glucose_homeostasis_traits,13,74346049,rs10492494,0.389474,0.1974,0.1776,0.1483,0.1103,0.1884
Obesity-related_traits,1,80012195,rs10493631,0.610526,0.3357,0.3899,0.3763,0.3022,0.4002
Immune_response_to_smallpox_vaccine_(IL-6),1,240542807,rs10495471,0.410526,0.1369,0.255,0.1217,0.1352,0.0499
Response_to_anti-retroviral_therapy_(ddI/d4T)_in_HIV-1_infection_(Grade_3_peripheral_neuropathy),2,49264671,rs10495970,0.0526316,0.1801,0.3373,0.2393,0.2584,0.323
Obesity-related_traits,18,8966146,rs10502386,0.568421,0.4049,0.1587,0.3793,0.4642,0.2534
Response_to_amphetamines,18,37618333,rs10502675,0.0421053,0.1816,0.1637,0.2832,0.2922,0.329
Prostate_cancer,8,23676505,rs10503733,0.568421,0.3184,0.2847,0.3446,0.2932,0.2912
Immune_response_to_smallpox_vaccine_(IL-6),8,33808162,rs10503951,0.0421053,0.0403,0.2331,0.0767,0.0577,0.003
Prostate_cancer,8,127112950,rs10505483,0.0105263,0.0504,0.2133,0.1002,0.0358,0.5113
Obesity-related_traits,12,1947197,rs10505725,0.442105,0.2493,0.4623,0.2904,0.3042,0.1702
Obesity-related_traits,10,124749450,rs10510138,0.105263,0.0288,0.0764,0.092,0.0527,0.0038
Adolescent_idiopathic_scoliosis,3,149364,rs10510181,0.463158,0.3991,0.5089,0.2147,0.3439,0.1641
Obesity-related_traits,3,118443776,rs10511378,0.0526316,0.0893,0.0278,0.0941,0.1481,0.2057
Fibrinogen,17,74703694,rs10512597,0.368421,0.5533,0.7381,0.7577,0.8191,0.2829
Obesity-related_traits,17,59946963,rs1051424,0.252632,0.1254,0.4137,0.2352,0.1541,0.0098
Obesity-related_traits,5,89725761,rs10514310,0.589474,0.17,0.1607,0.0624,0.1044,0.0393
Trans_fatty_acid_levels,16,82670240,rs10514550,0.442105,0.1988,0.2778,0.2229,0.1451,0.0038
Response_to_abacavir-containing_treatment_in_HIV-1_infection_(virologic_failure),4,5151418,rs10516173,0.947368,0.5706,0.6716,0.5164,0.3658,0.6914
Cognitive_performance,4,58142246,rs10517437,0.431579,0.4294,0.3929,0.6053,0.5149,0.2829
Adverse_response_to_radiation_therapy,4,137213427,rs10519410,0.0315789,0.1599,0.2123,0.3344,0.1889,0.2753
Asthma_(childhood_onset),17,13655763,rs10521233,0.126316,0.0764,0.1339,0.0358,0.0676,0.0356
Obesity-related_traits,1,241592265,rs1053221,0.136842,0.1023,0.255,0.1994,0.1421,0.0076
Obesity-related_traits,1,61914626,rs1056513,0.305263,0.5231,0.5655,0.5624,0.6282,0.0862
Response_to_anti-retroviral_therapy_(ddI/d4T)_in_HIV-1_infection_(Grade_2_peripheral_neuropathy),16,87331044,rs1062746,0.410526,0.3127,0.123,0.1012,0.4344,0.2421
Obesity-related_traits,12,10368790,rs10743889,0.715789,0.696,0.6915,0.6278,0.8062,0.795
Obesity-related_traits,12,114276461,rs10744816,0.0421053,0.3112,0.377,0.3139,0.494,0.1936
Obesity-related_traits,1,99058491,rs10747502,1,0.938,0.995,0.9264,0.9284,0.671
Obesity-related_traits,10,28099221,rs10763642,0.873684,0.3991,0.7679,0.4192,0.1243,0.3608
Obesity-related_traits,12,131529661,rs10773920,0.873684,0.4135,0.4663,0.2403,0.3151,0.1747
Obesity-related_traits,1,111565047,rs10776733,0.873684,0.6052,0.756,0.6288,0.5825,0.5121
Response_to_anti-retroviral_therapy_(ddI/d4T)_in_HIV-1_infection_(Grade_1_peripheral_neuropathy),12,62164533,rs10784285,0.863158,0.5576,0.6369,0.4632,0.5497,0.4675
Brain_structure,12,65950030,rs10784502,0.968421,0.6614,0.9008,0.7699,0.5417,0.4803
Obesity-related_traits,11,82938726,rs10792665,0.873684,0.5692,0.3403,0.3845,0.4493,0.3321
Forced_vital_capacity,16,78153241,rs1079572,0.189474,0.5245,0.5437,0.4877,0.5378,0.5893
Fractional_exhaled_nitric_oxide_(childhood),1,246209578,rs10802346,0.0526316,0.1052,0.4544,0.3528,0.1153,0.4244
Response_to_amphetamines,9,17458874,rs10810790,0.926316,0.8602,0.876,0.6994,0.837,0.4629
Acute_lymphoblastic_leukemia_(childhood),10,61963818,rs10821936,0.663158,0.5245,0.6429,0.4847,0.672,0.7995
Obesity-related_traits,11,89379482,rs10830265,0.452632,0.1787,0.1627,0.1861,0.0755,0.0991
Glucose_homeostasis_traits,11,92975544,rs10830963,0.336842,0.1931,0.4226,0.4264,0.2883,0.0272
Obesity-related_traits,11,21647747,rs10833583,0.0105263,0.0836,0.121,0.1247,0.1342,0.0189
Bronchopulmonary_dysplasia,11,38263951,rs10836945,0.957895,0.8963,0.7937,0.772,0.9533,0.3079
Obesity-related_traits,10,71362188,rs1084004,0.536842,0.6614,0.7153,0.7209,0.8976,0.7466
Obesity-related_traits,12,19626859,rs10841287,0.178947,0.1758,0.2837,0.2096,0.2157,0.6293
Response_to_amphetamines,12,19911034,rs10841397,0.115789,0.2478,0.119,0.2853,0.4215,0.2073
Obesity-related_traits,12,28591708,rs10843215,0.631579,0.7579,0.5853,0.8599,0.9264,0.8487
Glucose_homeostasis_traits,12,30189001,rs10843647,0.326316,0.6455,0.8522,0.5982,0.6163,0.4395
Obesity-related_traits,12,6326405,rs10849441,0.347368,0.281,0.2659,0.2802,0.4901,0.2375
Trans_fatty_acid_levels,11,61779765,rs108499,1,0.5778,0.5556,0.1186,0.333,0.0219
Glucose_homeostasis_traits,15,42567037,rs10851411,0.684211,0.5173,0.7877,0.6319,0.7604,0.0605
Obesity-related_traits,9,82994866,rs10867921,0.0105263,0.0418,0.0278,0.0532,0.0656,0.115
Breast_cancer,16,74438798,rs10871290,0.157895,0.768,0.5903,0.7638,0.6471,0.5265
Obesity-related_traits,12,63052182,rs10877945,0.431579,0.2882,0.2946,0.4458,0.4493,0.1944
Cognitive_performance,12,72913802,rs10879517,0.536842,0.2695,0.1528,0.2076,0.2445,0.3003
Preeclampsia,10,104124358,rs10883969,0.315789,0.3199,0.3859,0.3139,0.4692,0.0204
Response_to_efavirenz-containing_treatment_in_HIV_1_infection_(virologic_failure),11,119032329,rs10892324,0.273684,0.3718,0.7242,0.5695,0.496,0.5325
Obesity-related_traits,11,129828961,rs10894147,0.284211,0.1383,0.0962,0.0951,0.1014,0.0862
Obesity-related_traits,11,130759227,rs10894239,0.505263,0.5,0.3006,0.3006,0.4105,0.3177
Glucose_homeostasis_traits,11,73241451,rs10898909,0.842105,0.4107,0.5099,0.2229,0.2406,0.0113
Obesity-related_traits,9,132771634,rs10901212,1,0.8761,0.8839,0.8916,0.831,0.7882
Obesity-related_traits,1,26242051,rs10902723,0.326316,0.402,0.3095,0.2853,0.6272,0.3351
Obesity-related_traits,10,10932293,rs10905868,0.273684,0.1715,0.1607,0.2556,0.2406,0.3177
Obesity-related_traits,10,12396784,rs10906142,0.2,0.2277,0.5298,0.3569,0.331,0.1997
Schizophrenia,1,186663185,rs10911902,0.178947,0.147,0.1567,0.1769,0.169,0.0068
Obesity-related_traits,1,225713304,rs10915864,0.536842,0.2305,0.2619,0.1616,0.2117,0.1755
Waist-to-hip_circumference_ratio_(interaction),2,182820835,rs10931041,0.652632,0.4726,0.3462,0.5798,0.5785,0.438
Obesity-related_traits,3,174476453,rs10936797,0.389474,0.33,0.4306,0.4632,0.2922,0.1384
Obesity-related_traits,3,188571909,rs10937355,0.6,0.2839,0.7024,0.3415,0.2475,0.1626
Obesity-related_traits,6,170110297,rs10946292,0.568421,0.2925,0.37,0.3487,0.1412,0.5023
Obesity-related_traits,7,21123736,rs10950840,0.936842,0.7695,0.7847,0.7025,0.7247,0.789
Response_to_amphetamines,8,60281611,rs10957125,0.336842,0.3631,0.2688,0.4315,0.4076,0.618
